accession	message	sample_name	sample_title	bioproject_accession	organism	isolate	breed	host	isolation_source	collection_date	geo_loc_name	tissue	age	altitude	biomaterial_provider	collected_by	depth	dev_stage	env_broad_scale	host_tissue_sampled	identified_by	lat_lon	sex	specimen_voucher	temp	description
SAMN31132109	Successfully loaded	1041_Pact_mtORF_HoloInt	1041_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.11.13	Coral host tissue	adult			077_1041										The Putnam Lab at the University of Rhode Island
SAMN31132110	Successfully loaded	1043_Pact_mtORF_HoloInt	1043_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Lilipuna.Fringe	Coral host tissue	adult			119_1043										The Putnam Lab at the University of Rhode Island
SAMN31132111	Successfully loaded	1047_Pact_mtORF_HoloInt	1047_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-10-06	USA: Hawaii Lilipuna.Fringe	Coral host tissue	adult			102_1047										The Putnam Lab at the University of Rhode Island
SAMN31132112	Successfully loaded	1050_Pact_mtORF_HoloInt	1050_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-29	USA: Hawaii Reef.18	Coral host tissue	adult			031_1050										The Putnam Lab at the University of Rhode Island
SAMN31132113	Successfully loaded	1051_Pact_mtORF_HoloInt	1051_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-10-20	USA: Hawaii Reef.11.13	Coral host tissue	adult			074_1051										The Putnam Lab at the University of Rhode Island
SAMN31132114	Successfully loaded	1059_Pact_mtORF_HoloInt	1059_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-23	USA: Hawaii Reef.11.13	Coral host tissue	adult			086_1059										The Putnam Lab at the University of Rhode Island
SAMN31132115	Successfully loaded	1060_Pact_mtORF_HoloInt	1060_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.18	Coral host tissue	adult			108_1060										The Putnam Lab at the University of Rhode Island
SAMN31132116	Successfully loaded	1090_Pact_mtORF_HoloInt	1090_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-10-06	USA: Hawaii Lilipuna.Fringe	Coral host tissue	adult			085_1090										The Putnam Lab at the University of Rhode Island
SAMN31132117	Successfully loaded	1103_Pact_mtORF_HoloInt	1103_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-12-15	USA: Hawaii Reef.42.43	Coral host tissue	adult			096_1103										The Putnam Lab at the University of Rhode Island
SAMN31132118	Successfully loaded	1131_Pact_mtORF_HoloInt	1131_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-11-03	USA: Hawaii HIMB	Coral host tissue	adult			058_1131										The Putnam Lab at the University of Rhode Island
SAMN31132119	Successfully loaded	1138_Pact_mtORF_HoloInt	1138_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-29	USA: Hawaii HIMB	Coral host tissue	adult			061_1138										The Putnam Lab at the University of Rhode Island
SAMN31132120	Successfully loaded	1141_Pact_mtORF_HoloInt	1141_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-11-03	USA: Hawaii Reef.42.43	Coral host tissue	adult			080_1141										The Putnam Lab at the University of Rhode Island
SAMN31132121	Successfully loaded	1147_Pact_mtORF_HoloInt	1147_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-12-15	USA: Hawaii HIMB	Coral host tissue	adult			052_1147										The Putnam Lab at the University of Rhode Island
SAMN31132122	Successfully loaded	1159_Pact_mtORF_HoloInt	1159_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-11-17	USA: Hawaii Reef.42.43	Coral host tissue	adult			073_1159										The Putnam Lab at the University of Rhode Island
SAMN31132123	Successfully loaded	1168_Pact_mtORF_HoloInt	1168_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-23	USA: Hawaii Reef.35.36	Coral host tissue	adult			042_1168										The Putnam Lab at the University of Rhode Island
SAMN31132124	Successfully loaded	1169_Pact_mtORF_HoloInt	1169_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.35.36	Coral host tissue	adult			111_1169										The Putnam Lab at the University of Rhode Island
SAMN31132125	Successfully loaded	1184_Pact_mtORF_HoloInt	1184_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-10-20	USA: Hawaii Lilipuna.Fringe	Coral host tissue	adult			041_1184										The Putnam Lab at the University of Rhode Island
SAMN31132126	Successfully loaded	1205_Pact_mtORF_HoloInt	1205_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-11-17	USA: Hawaii Reef.35.36	Coral host tissue	adult			02_1205										The Putnam Lab at the University of Rhode Island
SAMN31132127	Successfully loaded	1207_Pact_mtORF_HoloInt	1207_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.11.13	Coral host tissue	adult			068_1207										The Putnam Lab at the University of Rhode Island
SAMN31132128	Successfully loaded	1219_Pact_mtORF_HoloInt	1219_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.35.36	Coral host tissue	adult			088_1219										The Putnam Lab at the University of Rhode Island
SAMN31132129	Successfully loaded	1220_Pact_mtORF_HoloInt	1220_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Lilipuna.Fringe	Coral host tissue	adult			075_1220										The Putnam Lab at the University of Rhode Island
SAMN31132130	Successfully loaded	1225_Pact_mtORF_HoloInt	1225_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-11-17	USA: Hawaii HIMB	Coral host tissue	adult			051_1225										The Putnam Lab at the University of Rhode Island
SAMN31132131	Successfully loaded	1227_Pact_mtORF_HoloInt	1227_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.42.43	Coral host tissue	adult			065_1227										The Putnam Lab at the University of Rhode Island
SAMN31132132	Successfully loaded	1238_Pact_mtORF_HoloInt	1238_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-11-17	USA: Hawaii Reef.42.43	Coral host tissue	adult			056_1238										The Putnam Lab at the University of Rhode Island
SAMN31132133	Successfully loaded	1239_Pact_mtORF_HoloInt	1239_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.42.43	Coral host tissue	adult			028_1239										The Putnam Lab at the University of Rhode Island
SAMN31132134	Successfully loaded	1254_Pact_mtORF_HoloInt	1254_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-29	USA: Hawaii Reef.42.43	Coral host tissue	adult			008_1254										The Putnam Lab at the University of Rhode Island
SAMN31132135	Successfully loaded	1281_Pact_mtORF_HoloInt	1281_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-10-06	USA: Hawaii Reef.35.36	Coral host tissue	adult			046_1281										The Putnam Lab at the University of Rhode Island
SAMN31132136	Successfully loaded	1296_Pact_mtORF_HoloInt	1296_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-23	USA: Hawaii Reef.11.13	Coral host tissue	adult			081_1296										The Putnam Lab at the University of Rhode Island
SAMN31132137	Successfully loaded	1302_Pact_mtORF_HoloInt	1302_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-11-03	USA: Hawaii Reef.35.36	Coral host tissue	adult			099_1302										The Putnam Lab at the University of Rhode Island
SAMN31132138	Successfully loaded	1303_Pact_mtORF_HoloInt	1303_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-23	USA: Hawaii Reef.35.36	Coral host tissue	adult			035_1303										The Putnam Lab at the University of Rhode Island
SAMN31132139	Successfully loaded	1329_Pact_mtORF_HoloInt	1329_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-10-20	USA: Hawaii Lilipuna.Fringe	Coral host tissue	adult			020_1329										The Putnam Lab at the University of Rhode Island
SAMN31132140	Successfully loaded	1330_Pact_mtORF_HoloInt	1330_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-29	USA: Hawaii Reef.35.36	Coral host tissue	adult			011_1330										The Putnam Lab at the University of Rhode Island
SAMN31132141	Successfully loaded	1343_Pact_mtORF_HoloInt	1343_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Lilipuna.Fringe	Coral host tissue	adult			101_1343										The Putnam Lab at the University of Rhode Island
