Plug_ID,Species,Treatment,Timepoint,Sample_Date,ColorScore,PhotoTP,PhotoDate,Notes
1037,Mcapitata,ATAC,1,20180922,NA,NA,NA,Sampled prior to photos taken
1041,Pacuta,ATAC,3,20180922,NA,NA,NA,Sampled prior to photos taken
1043,Pacuta,ATAC,1,20180922,NA,NA,NA,Sampled prior to photos taken
1047,Pacuta,ATAC,7,20181006,9.66477223,Time2,20181003,
1050,Pacuta,ATAC,6,20180929,NA,NA,NA,Sampled prior to photos taken
1051,Pacuta,ATAC,8,20181020,11.90783722,Time4,20181018,
1058,Mcapitata,ATAC,7,20181006,14.81667813,Time2,20181003,
1059,Pacuta,ATAC,5,20180923,NA,NA,NA,Sampled prior to photos taken
1060,Pacuta,ATAC,4,20180922,NA,NA,NA,Sampled prior to photos taken
1074,Mcapitata,HTHC,10,20181117,1.56103840,Time8,20181116,
1076,Mcapitata,ATAC,11,20181215,13.19144031,Time12,20181214,
1078,Mcapitata,HTHC,9,20181103,14.74714367,Time6,20181102,
1082,Mcapitata,HTHC,8,20181020,8.19749294,Time4,20181018,
1083,Mcapitata,ATAC,8,20181020,11.73249327,Time4,20181018,
1090,Pacuta,HTHC,7,20181006,11.77612975,Time2,20181003,
1095,Mcapitata,ATAC,10,20181117,9.17560998,Time8,20181116,
1101,Mcapitata,ATAC,3,20180922,NA,NA,NA,Sampled prior to photos taken
1103,Pacuta,ATAC,11,20181215,14.16901986,Time12,20181214,
1108,Mcapitata,ATAC,4,20180922,NA,NA,NA,Sampled prior to photos taken
1114,Mcapitata,ATAC,6,20180929,NA,NA,NA,Sampled prior to photos taken
1120,Mcapitata,ATAC,12,20190112,-7.42348200,Time16,20190111,
1121,Mcapitata,ATAC,9,20181103,11.24698709,Time6,20181102,
1124,Mcapitata,HTHC,4,20180922,NA,NA,NA,Sampled prior to photos taken
1126,Mcapitata,HTHC,7,20181006,14.34311639,Time2,20181003,
1128,Mcapitata,HTHC,3,20180922,NA,NA,NA,Sampled prior to photos taken
1131,Pacuta,HTHC,9,20181103,-45.19039330,Time6,20181102,
1138,Pacuta,HTHC,6,20180929,NA,NA,NA,Sampled prior to photos taken
1140,Mcapitata,HTHC,12,20190112,10.18282616,Time16,20190111,
1141,Pacuta,ATAC,9,20181103,10.24160302,Time6,20181102,
1145,Mcapitata,HTHC,1,20180922,NA,NA,NA,Sampled prior to photos taken
1147,Pacuta,ATHC,11,20181215,-18.95731665,Time12,20181214,
1148,Mcapitata,ATHC,9,20181103,12.66426653,Time6,20181102,
1154,Mcapitata,ATHC,12,20190112,14.78278211,Time16,20190111,
1159,Pacuta,ATAC,10,20181117,12.09163839,Time8,20181116,
1164,Mcapitata,HTHC,6,20180929,NA,NA,NA,Sampled prior to photos taken
